Lower Bin Energy (MeV)   ,   Upper Bin Energy (MeV)    Lower Bin Wavelength (A)   ,   Upper Bin Wavelength (A)    ,     MCNP - STIP,  SPHERICAL      ,     MCNP - NOSTIP, INVERTED     ,     MCNP - NOSTIP, INVERTED, MISALIGNED
 9.0000E-13 ,   3.6357E-10 ,    3.0149E+02 ,    1.5000E+01 ,    1.6779E-12 ,    1.9495E-12 ,    1.7964E-12
 3.6357E-10 ,   3.6491E-10 ,    1.5000E+01 ,    1.4973E+01 ,    2.0896E-14 ,    2.4350E-14 ,    2.3141E-14
 3.6491E-10 ,   3.6625E-10 ,    1.4973E+01 ,    1.4945E+01 ,    2.1851E-14 ,    2.5340E-14 ,    2.2284E-14
 3.6625E-10 ,   3.6759E-10 ,    1.4945E+01 ,    1.4918E+01 ,    2.1520E-14 ,    2.5163E-14 ,    2.2377E-14
 3.6759E-10 ,   3.6895E-10 ,    1.4918E+01 ,    1.4890E+01 ,    2.2219E-14 ,    2.6917E-14 ,    2.4964E-14
 3.6895E-10 ,   3.7031E-10 ,    1.4890E+01 ,    1.4863E+01 ,    2.2044E-14 ,    2.5227E-14 ,    2.4948E-14
 3.7031E-10 ,   3.7168E-10 ,    1.4863E+01 ,    1.4836E+01 ,    2.2929E-14 ,    2.6637E-14 ,    2.5147E-14
 3.7168E-10 ,   3.7305E-10 ,    1.4836E+01 ,    1.4808E+01 ,    2.2439E-14 ,    2.8044E-14 ,    2.5836E-14
 3.7305E-10 ,   3.7444E-10 ,    1.4808E+01 ,    1.4781E+01 ,    2.3656E-14 ,    2.7434E-14 ,    2.6274E-14
 3.7444E-10 ,   3.7583E-10 ,    1.4781E+01 ,    1.4753E+01 ,    2.3693E-14 ,    2.7344E-14 ,    2.5415E-14
 3.7583E-10 ,   3.7723E-10 ,    1.4753E+01 ,    1.4726E+01 ,    2.3697E-14 ,    2.8453E-14 ,    2.7133E-14
 3.7723E-10 ,   3.7864E-10 ,    1.4726E+01 ,    1.4699E+01 ,    2.4414E-14 ,    2.7221E-14 ,    2.7755E-14
 3.7864E-10 ,   3.8005E-10 ,    1.4699E+01 ,    1.4671E+01 ,    2.5031E-14 ,    2.8046E-14 ,    2.6485E-14
 3.8005E-10 ,   3.8148E-10 ,    1.4671E+01 ,    1.4644E+01 ,    2.4871E-14 ,    3.1136E-14 ,    2.7991E-14
 3.8148E-10 ,   3.8291E-10 ,    1.4644E+01 ,    1.4616E+01 ,    2.5889E-14 ,    2.8963E-14 ,    2.6439E-14
 3.8291E-10 ,   3.8435E-10 ,    1.4616E+01 ,    1.4589E+01 ,    2.5800E-14 ,    3.1080E-14 ,    2.8571E-14
 3.8435E-10 ,   3.8579E-10 ,    1.4589E+01 ,    1.4562E+01 ,    2.5888E-14 ,    2.8849E-14 ,    3.0431E-14
 3.8579E-10 ,   3.8725E-10 ,    1.4562E+01 ,    1.4534E+01 ,    2.7177E-14 ,    3.0134E-14 ,    2.9520E-14
 3.8725E-10 ,   3.8871E-10 ,    1.4534E+01 ,    1.4507E+01 ,    2.6572E-14 ,    3.2546E-14 ,    3.1314E-14
 3.8871E-10 ,   3.9019E-10 ,    1.4507E+01 ,    1.4479E+01 ,    2.7541E-14 ,    2.9942E-14 ,    2.7861E-14
